Model,Reference,Protocol,Brand,CameraLensControl,LensMount,ManufacturerURL,Remark,Type,Cable,SupportURL,Message,MaxDelayToComplete,ControlCoverage,Bidirectionnal,Selected,Number,Lens,Network,Base,CameraLensSpecificity,LensControlNeeds,UserLensSpecificity,LensMotorization,CameraLensCategory
P400,BirdDogP400,Birdog PTZ,BirdDog,Fixed Lens,No-Xchange-Motorized,https://birddog.tv/p400-overview/,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Birddog/BirddogPTZ,,500.0,2.0,,False,2,Fixed,LAN Wired,Fixed,TBD,No needs,TBD,TBD,IZF Integrated
CV355-30X,MarshallCV35530X,Marshall Ethernet,Marshall,Fixed Lens,No-Xchange-Motorized,https://marshall-usa.com/cameras/CV355-10X-IP/,,Mini Camera,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,2,Fixed,LAN Wired,Fixed,TBD,No needs,TBD,TBD,IZF Integrated
AW-HE60,AWHE60,Panasonic PTZ,Panasonic,Fixed Lens,No-Xchange-Motorized,,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/PanasonicPTZ,,500.0,2.0,,False,2,Fixed,LAN Wired,Fixed,TBD,No needs,TBD,TBD,IZF Integrated
ATOMONE,AtomOne,DreamChip Serial,DreamChip,Fixed Lens,S-Mount,https://www.atom-one.de,,Mini Camera,CY-CBL-6P-DCHIP-02,https://support.cyanview.com/docs/Integrations/Dreamchip/,,500.0,5.0,,False,2,Fixed,LAN Wired,Fixed,TBD,No needs,TBD,TBD,Cine Interchangeable
ATOMONE MINI ZOOM,AtomOne mini Zoom,DreamChip Serial,DreamChip,Fixed Lens,S-Mount,https://www.atom-one.de,,Mini Camera,CY-CBL-6P-DCHIP-02,https://support.cyanview.com/docs/Integrations/Dreamchip/,,500.0,5.0,,False,3,Fixed,LAN Wired,Fixed,TBD,No needs,TBD,TBD,Cine Interchangeable
CV226,MarshallCV226,Marshall Breakout,Marshall,Fixed Lens,MFT-mount,https://marshall-usa.com/discontinued/cameras/CV226.php,,Mini Camera,CY-CBL-6P-PFAN,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,1,Fixed,LAN Wired,Fixed,TBD,No needs,TBD,TBD,Cine Interchangeable
AU-EVA1,EVA1,Panasonic EVA1,Panasonic,,LNE-Mount,,,CineStyle,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/EVA1,,500.0,2.0,,False,2,Fixed,LAN Wired,Fixed,TBD,No needs,TBD,TBD,Cine Interchangeable
ALPHA,Alpha SonyMirrorless,Sony Mirrorless,Sony,,E-Mount,,,Mirrorless,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Sony/SonyMirrorless,,500.0,2.0,,False,2,Fixed,LAN Wired,Fixed,TBD,No needs,TBD,TBD,Cine Interchangeable
FX9,PXW-FX9,Sony FX9-XDCA,Sony,,E-Mount,https://pro.sony/products/handheld-camcorders/pxw-fx9,,CineStyle,XDCA back,https://support.cyanview.com/docs/Integrations/Sony/SonyFX9,,500.0,5.0,,False,2,Fixed,LAN Wired,Fixed,TBD,No needs,TBD,TBD,Cine Interchangeable
AG-HPX500,AG-HPX500,Panasonic P2,Panasonic,Iris/Zoom/Focus,LNE-Mount,,,Shoulder Camcorder,CY-CBL-6P-PAN-10P,https://support.cyanview.com/docs/Integrations/Panasonic/P2,,500.0,2.0,,False,2,Fixed,LAN Wired,Fixed,TBD,No needs,TBD,TBD,Broadcast
PXW-500,PXW-X500,Sony 8-Pin,Sony,Iris/Zoom/Focus,B4-Mount,https://pro.sony/products/shoulder-camcorders/pmw-500,"Sony 8-Pin pour CDC, Ethernet pour broadcast (Tally,……)",Shoulder Camcorder,CY-CBL-SONY-8P-03,https://support.cyanview.com/docs/Integrations/Sony/Sony8Pin,Our solutions offers the same color control than the Sony RCP,500.0,2.0,,False,3,Fixed,LAN Wired,Fixed,TBD,No needs,TBD,TBD,Broadcast
